token,removed_token_count,token_appearance_count,relative_removal
the,31822,40712,0.7816368638239339
.,21975,26231,0.8377492280126568
",",20845,31736,0.6568250567179229
a,13569,20322,0.6677000295246531
br,12509,16463,0.7598250622608274
of,11786,17975,0.6556884561891516
to,10577,16608,0.636861753371869
and,9486,19918,0.47625263580680793
is,8822,13319,0.6623620391921315
it,7371,11404,0.6463521571378463
in,6625,11881,0.557612995539096
i,6467,9484,0.6818852804723745
/,6120,8881,0.689111586533048
.<,6073,6224,0.9757390745501285
this,6058,8698,0.6964819498735342
that,5779,8879,0.6508615835116567
><,5708,8175,0.6982262996941896
-,4648,6867,0.6768603465851172
/>,4603,8175,0.5630581039755351
's,4525,7768,0.5825180226570545
film,4172,5272,0.791350531107739
"""",4146,5690,0.728646748681898
movie,3474,4458,0.7792732166890982
was,3337,5049,0.6609229550406021
but,3306,5132,0.6441932969602494
with,3186,5469,0.5825562260010971
as,3154,5998,0.5258419473157719
(,3138,4058,0.7732873336619024
he,2850,3829,0.7443196657090624
on,2681,4449,0.6026073274893234
for,2533,5425,0.46691244239631335
't,2356,3911,0.6024034773715162
are,2283,3689,0.6188669015993494
be,2272,3389,0.670404249041015
have,2235,3185,0.7017268445839875
they,2211,2848,0.7763342696629213
who,2176,2665,0.8165103189493433
one,2156,3327,0.6480312593928464
you,2028,4200,0.4828571428571429
an,1993,2872,0.6939415041782729
by,1929,2891,0.6672431684538223
at,1916,3108,0.6164736164736164
his,1869,3769,0.4958875033165296
<,1863,1951,0.9548949256791389
all,1769,3109,0.5689932454165326
not,1743,3682,0.47338403041825095
),1668,2033,0.8204623708804722
so,1588,2465,0.6442190669371197
from,1522,2477,0.6144529672991522
there,1442,2273,0.6344038715354158
like,1432,2409,0.5944375259443753
',1428,1923,0.7425897035881436
about,1424,2041,0.6976972072513474
has,1341,2082,0.6440922190201729
she,1305,1805,0.7229916897506925
very,1243,1678,0.7407628128724673
story,1242,1454,0.8541953232462174
out,1228,2131,0.5762552792116378
her,1174,2363,0.4968260685569192
up,1162,1680,0.6916666666666667
some,1151,1870,0.6155080213903743
good,1149,1789,0.6422582448295137
!,1131,1463,0.773069036226931
even,1116,1523,0.7327642810242941
what,1111,1883,0.590015932023367
if,1110,2162,0.513413506012951
just,1095,2147,0.5100139729855613
which,1079,1441,0.7487855655794587
can,1075,1798,0.5978865406006674
s,1064,1460,0.7287671232876712
no,1062,1538,0.6905071521456437
when,1055,1724,0.6119489559164734
or,1011,2346,0.4309462915601023
?,1006,1263,0.7965162311955661
really,976,1341,0.7278150633855331
would,970,1439,0.6740792216817234
more,964,1845,0.5224932249322494
also,963,1086,0.8867403314917127
well,939,1325,0.7086792452830188
we,894,1316,0.6793313069908815
had,894,1233,0.7250608272506083
...,890,1065,0.8356807511737089
time,880,1445,0.6089965397923875
see,860,1394,0.6169296987087518
much,853,1201,0.7102414654454621
first,823,1053,0.7815764482431149
into,813,1139,0.713784021071115
than,809,1322,0.6119515885022693
man,809,1122,0.7210338680926917
do,806,1100,0.7327272727272728
then,796,951,0.8370136698212408
other,788,1129,0.6979627989371124
get,784,1147,0.6835222319093287
their,768,1417,0.5419901199717714
).,761,810,0.9395061728395062
make,761,984,0.7733739837398373
my,755,1395,0.5412186379928315
too,754,951,0.7928496319663512
been,753,1135,0.6634361233480176
were,750,1197,0.6265664160401002
only,750,1447,0.5183137525915688
made,737,1006,0.7326043737574552
because,737,983,0.7497456765005086
how,736,1057,0.6963103122043519
films,731,937,0.7801494130202775
people,724,1095,0.6611872146118721
characters,721,867,0.831603229527105
him,720,1125,0.64
character,712,825,0.863030303030303
don,708,990,0.7151515151515152
them,697,976,0.7141393442622951
me,690,1223,0.5641864268192968
bad,672,1056,0.6363636363636364
seen,667,750,0.8893333333333333
d,658,765,0.8601307189542484
any,657,1019,0.6447497546614328
will,657,1270,0.5173228346456693
:,654,1103,0.5929283771532184
great,654,1027,0.6368062317429406
its,649,1167,0.5561268209083119
acting,641,711,0.9015471167369902
b,636,779,0.8164313222079589
"),",621,703,0.883357041251778
way,620,1007,0.6156901688182721
movies,620,820,0.7560975609756098
plot,618,761,0.812089356110381
;,611,691,0.8842257597684515
g,609,686,0.8877551020408163
most,608,1032,0.5891472868217055
after,605,902,0.6707317073170732
love,601,804,0.7475124378109452
watch,584,886,0.6591422121896162
could,579,948,0.6107594936708861
these,573,709,0.8081805359661495
little,569,785,0.7248407643312101
h,567,678,0.8362831858407079
show,564,665,0.8481203007518797
here,557,765,0.7281045751633987
think,548,790,0.6936708860759494
does,541,722,0.7493074792243767
t,537,663,0.8099547511312217
l,537,609,0.8817733990147784
many,534,761,0.7017082785808147
real,531,622,0.8536977491961415
where,529,742,0.7129380053908356
m,529,613,0.8629690048939641
over,528,877,0.6020524515393386
