query,perplexity,prediction,model
"I love sci-fi and am willing to put up with a lot. Sci-fi movies/TV are usually underfunded, under-appreciated and misunderstood. I tried to like this, I really did, but it is to good TV sci-fi as Babylon 5 is to Star Trek (the original). Silly prosthetics, cheap cardboard sets, stilted dialogues, CG that doesn't match the background, and painfully one-dimensional characters cannot be overcome with a 'sci-fi' setting. (I'm sure there are those of you out there who think Babylon 5 is good sci-fi TV. It's not. It's clichéd and uninspiring.) While US viewers might like emotion and character development, sci-fi is a genre that does not take itself seriously (cf. Star Trek). It may treat important issues, yet not as a serious philosophy. It's really difficult to care about the characters here as they are not simply foolish, just missing a spark of life. Their actions and reactions are wooden and predictable, often painful to watch. The makers of Earth KNOW it's rubbish as they have to always say ""Gene Roddenberry's Earth..."" otherwise people would not continue watching. Roddenberry's ashes must be turning in their orbit as this dull, cheap, poorly edited (watching it without advert breaks really brings this home) trudging Trabant of a show lumbers into space. Spoiler. So, kill off a main character. And then bring him back as another actor. Jeeez! Dallas all over again.",44.07223618824296,". the-fi, fantasy a to give my with it lot of I-fi is areTV shows a aboutwhelming, and-budgetreciated, under. I'm to make sci movie but'm did. but I's a be to that-fi that well 5 is to bad Trek.and show series Iilly,hetic, a CGI,, cheapitchedted sets,, and characters looks't look the character, and a slow-dimensional characters are be appreciated. a singlegood-fi' approach. II'm not there are other who you who there who are that 5 is a,-fi,, I's not. It's not.), itoriginalpiring.)
 I audiences are be the and drama development, I-fi is not genre that is not have itself seriously.or. The Trek). I is be you characters like but it take seriously genre genre. It is a just to get about the characters,. they are. the a, but plain out few. life. I lives are motivations are not and they. yet with and watch. The characters of Babylon's that's a, it are to make be 'novaoddenberry is sci is and they will be understand to.
oddenberry's Earth are be buried into the graves. they is, boring, and written,and) on a) my hurts out to to sciite storyonzonian the movie thatagging through the. The alert
, I me the few character and
 then, in back to a..
.ves,
, the again.",gpt2
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",45.943924648850434,". a trouble value of the good car the if you're to movies,
 is is a classic action-ases, but, cops polices Gome,ers, and with, the bestmm,ers, and a a attacks attacks.
 of these is done, funes done. it are a to makes makes you away. you are never the fair of.br />><br />The movie is pretty up by the fact of a few and a is aly not a. The of the characters are well implieded and the rabbit,, the young young immigrants, the young cops, the bad cops, the bady cops guys,ing, the bad cops, the bad guyated, is like a's borncast, a "", the movie movie, the 1950s, The ofable handled, the, that.br /><br />The'm the movie character were the much done, the well done. The the end of the movie,'ll get what they main guys were and what't. The was a interesting climax to well bad bad guys were their revenge desserts and The few and but still again get't really anythinglet to the? The plot real that really interesting interesting was the fact use to theHS and's the first scene..br /><br />The to at The bad at Notable./",gpt2
"its a totally average film with a few semi-alright action sequences that make the plot seem a little better and remind the viewer of the classic van dam films. parts of the plot don't make sense and seem to be added in to use up time. the end plot is that of a very basic type that doesn't leave the viewer guessing and any twists are obvious from the beginning. the end scene with the flask backs don't make sense as they are added in and seem to have little relevance to the history of van dam's character. not really worth watching again, bit disappointed in the end production, even though it is apparent it was shot on a low budget certain shots and sections in the film are of poor directed quality",55.653094512461536,", lot different,. a lot exceptions-interestingive- sequences. are you film feel like little more. more me viewer that the characters action Gome.
 of the film are't seem sense, the to be just to order make as the. The story of is a of a group old story of is't really much viewer with what is further or just. the beginning. the ending of is the van is up't make sense and they are just in to the to be no to to the story of the dam. story. the only a the.. but of. this ending.. but if it is a that is a in a very budget. scenes were the of the film were still a quality quality",gpt2
"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday Morning <br /><br />Former New Orleans homicide cop Jack Robideaux (Jean Claude Van Damme) is re-assigned to Columbus, a small but violent town in Mexico to help the police there with their efforts to stop a major heroin smuggling operation into their town. The culprits turn out to be ex-military, lead by former commander Benjamin Meyers (Stephen Lord, otherwise known as Jase from East Enders) who is using a special method he learned in Afghanistan to fight off his opponents. But Jack has a more personal reason for taking him down, that draws the two men into an explosive final showdown where only one will walk away alive.<br /><br />After Until Death, Van Damme appeared to be on a high, showing he could make the best straight to video films in the action market. While that was a far more drama oriented film, with The Shepherd he has returned to the high-kicking, no brainer action that first made him famous and has sadly produced his worst film since Derailed. It's nowhere near as bad as that film, but what I said still stands.<br /><br />A dull, predictable film, with very little in the way of any exciting action. What little there is mainly consists of some limp fight scenes, trying to look cool and trendy with some cheap slo-mo/sped up effects added to them that sadly instead make them look more desperate. Being a Mexican set film, director Isaac Florentine has tried to give the film a Robert Rodriguez/Desperado sort of feel, but this only adds to the desperation.<br /><br />VD gives a particularly uninspired performance and given he's never been a Robert De Niro sort of actor, that can't be good. As the villain, Lord shouldn't expect to leave the beeb anytime soon. He gets little dialogue at the beginning as he struggles to muster an American accent but gets mysteriously better towards the end. All the supporting cast are equally bland, and do nothing to raise the films spirits at all.<br /><br />This is one shepherd that's strayed right from the flock. *",48.60941652047769,"
ANK: 4*
, Live* Night ****
 Night *** Saturday Night ***
 Night ***-->><br />
 NFL York Saints detective, Oersonau waswhoette R Damme) is chargedppedelectedigned to the Police Ohio new town well city in the City be the city.. their investigation to stop the man drug epidemic operation. the city. Rob towns are out to be a-police and drug by a New of ""ade,Michael King), Jr known as "".y the Side).). and is now his new ops of learned from the to smugg back the former. The when is a new sinister problem for his up back. as of him attention of together a intense plot showdown. they one of survive away with.br /><br />The a The Do a Damme's in be a the mission note but off was handle a difference of- the game. the world.. But he may not bit cry impressive- film, it a Last's was a to the action schoolstakesicking action high-er, of he saw him a. made been faded a own film to Theanged. He's a near as bad as the of, but it's like about stands outbr /><br />The few, low, that but a little action the way of action action action. The I action is is just of a very, scenes, and to get like and not, a of shotsasher-mo.saghetti action action. to make. are don make the look like like and The a film, piece, it Miguel Rodriguezntino's a to make the action a more Rodriguez feelJohnpicado feel of feel, but it is works to the tension andbr /><br />The: a very badinspired,, the the's been been a big Rodriguez Niro, of guy, it's't be good. The a film, he is't be much be the scene- to soon, He's a to and all end of well's to get the audience accent, it a introduced as the end. The in while characters is well bad and but the not to make the stakes'. all.br /><br />The is a of film is beenung from into the script of He",gpt2
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",28.907189896971,",,'s say that I you are't already the goodishingme movie yet the anducking, then're haven. enjoy this one. It of the movies are be be been same plot, characters characters, they think them movies of movies because the they are. I movie is a more than the of the other I movie movies movies haveand., the' Lund have made about. together. last few years. The Damme is a because its sense sense but action is good about a if see Damme's.
 is a a good as the Up the,which is think recommend) anyone who you to Damme) but the the with it it my opinion, is better watching.
 is a best plot of plot and it as thehere Man Go but It action,.",gpt2
"I had high hopes for this one until they changed the name to 'The Shepherd : Border Patrol, the lamest movie name ever, what was wrong with just 'The Shepherd'. This is a by the numbers action flick that tips its hat at many classic Van Damme films. There is a nice bit of action in a bar which reminded me of hard target and universal soldier but directed with no intensity or flair which is a shame. There is one great line about 'being p*ss drunk and carrying a rabbit' and some OK action scenes let down by the cheapness of it all. A lot of the times the dialogue doesn't match the characters mouth and the stunt men fall down dead a split second before even being shot. The end fight is one of the better Van Damme fights except the Director tries to go a bit too John Woo and fails also introducing flashbacks which no one really cares about just gets in the way of the action which is the whole point of a van Damme film.<br /><br />Not good, not bad, just average generic action.",55.59222167830611,". to hopes for the game. I started the name to ""The Black'. Theline'. and Borderest of ever ever made and with it with it thatThe Shepherd'? I was the movie- way movie movie, is the hat to the of films Gome films.
 are a lot little of humor in the few, is me of the rock action the love. it by a real. drama. is a shame. The is a scene scene in aThe aattedssed' having a gun' which it great action in which you by the fact shots of the.. The great of the action it action is't really the action and but the dialogueman are into and. few second later they getting able. The only of scene a of the best action Damme films I for one is to make for little too far Woo style the.. a to are one wants wants about. because a the way of the action. is a main point of the movie.me movie.br />><br />The to. but good, not not. action.",gpt2
"Isaac Florentine has made some of the best western Martial Arts action movies ever produced. In particular US Seals 2, Cold Harvest, Special Forces and Undisputed 2 are all action classics. You can tell Isaac has a real passion for the genre and his films are always eventful, creative and sharp affairs, with some of the best fight sequences an action fan could hope for. In particular he has found a muse with Scott Adkins, as talented an actor and action performer as you could hope for. This is borne out with Special Forces and Undisputed 2, but unfortunately The Shepherd just doesn't live up to their abilities.<br /><br />There is no doubt that JCVD looks better here fight-wise than he has done in years, especially in the fight he has (for pretty much no reason) in a prison cell, and in the final showdown with Scott, but look in his eyes. JCVD seems to be dead inside. There's nothing in his eyes at all. It's like he just doesn't care about anything throughout the whole film. And this is the leading man.<br /><br />There are other dodgy aspects to the film, script-wise and visually, but the main problem is that you are utterly unable to empathise with the hero of the film. A genuine shame as I know we all wanted this film to be as special as it genuinely could have been. There are some good bits, mostly the action scenes themselves. This film had a terrific director and action choreographer, and an awesome opponent for JCVD to face down. This could have been the one to bring the veteran action star back up to scratch in the balls-out action movie stakes.<br /><br />Sincerely a shame that this didn't happen.",31.637920821943855,".,ntino, been a interesting the most signings films Arts moves figures of made. He this,-pp,, which War, and Forces, Theefeatedputed are are all based movies.
 can find that Flore a lot passion for the genre and his work are all entertainingful. with and entertaining.. with a of the best action scenes ever action movie could ever for.
 fact, has a a way for a Pilgrimkins, who well as actor as director hero as he will imagine for.
 is a out by his Forces 2 Undisputed 2, which also the Last is doesn't have up to the hype.br />><br />
 are a doubt that Isaac is is to than than thanwise than it did in in the. but in the last scenes has doneand the much every reason). done the few cell. but that the fight fight with the Ad he it at the eyes and HeVD is to be a set, He is no to his mind that all. He's just he's doesn't know. the. the fight fight. He that is where only man ofbr /><br />The is some thingsgy characters to JC film, like andwise, cinem, but the most thing is that it can never unable to seeise with the character. the film. He lot hero, he know that are know to film to be a good as it was is be been. The are a great moments in but in one sequences,, But is is a lot opening, a starographer, but it excellent cast. theVD. fight.. The is have been a best to win back film of hero back to to the. a future.to fight of..br /><br />The the,.. the film't happen.",gpt2
"It actually pains me to say it, but this movie was horrible on every level. The blame does not lie entirely with Van Damme as you can see he tried his best, but let's face it, he's almost fifty, how much more can you ask of him? I find it so hard to believe that the same people who put together Undisputed 2; arguably the best (western) martial arts movie in years, created this. Everything from the plot, to the dialog, to the editing, to the overall acting was just horribly put together and in many cases outright boring and nonsensical. Scott Adkins who's fight scenes seemed more like a demo reel, was also terribly underused and not even the main villain which is such a shame because 1) He is more than capable of playing that role and 2) The actual main villain was not only not intimidating at all but also quite annoying. Again, not blaming Van Damme. I will always be a fan, but avoid this one.",28.464547529390863," is is me to say this, but I is is a. so level. It first for not lie with on the Helsme. the can see in was to best to but it's not it, he was a always years and many more can you say for a?
 mean it hard hard to believe that he movie people who made him thisineputed were were the the best movieand) movie arts movie ever recent, would a movie
 about the way to to the characters, to the characters, to the acting quality, so awful done together. it a ways, terrible. un. The'skins was is been chore are to like a chore for than and a a overutil and poorly very a best character was is a a shame. he) he's a of just of doing a role, 2) He only fight villain is a even a a but all, he not a. I, I a the Damme for
'm say be a fan of but I this movie.",gpt2
"Technically I'am a Van Damme Fan, or I was. this movie is so bad that I hated myself for wasting those 90 minutes. Do not let the name Isaac Florentine (Undisputed II) fool you, I had big hopes for this one, depending on what I saw in (Undisputed II), man.. was I wrong ??! all action fans wanted a big comeback for the classic action hero, but i guess we wont be able to see that soon, as our hero keep coming with those (going -to-a-border - far-away-town-and -kill -the-bad-guys- than-comeback- home) movies I mean for God's sake, we are in 2008, and they insist on doing those disappointing movies on every level. Why ??!!! Do your self a favor, skip it.. seriously.",85.89756567407915,".,'mM not little Morrisonme,, but a'm a I is is a good, I'm it for it my hours minutes. I you watch this movie fool bentine fooltheisclosed)) fool you. I'm a plans for this movie. and on how you was. theandisputed)) but. I it wrong.

 the scenes should to good action, this movie movie movie, but I was they'll see seeing to find it for. so the hero is getting back his bigun to_--)-d-to-away-from-of-to- kill-world-guyys-and-they--to- action.'ve, the's sake, let have going the, and we are on making the movies sequels, the single. I not??? not best a favor and and the, and,",gpt2
"Honestly awful film, bad editing, awful lighting, dire dialog and scrappy screenplay.<br /><br />The lighting at is so bad there's moments you can't even see what's going on, I even tried to playing with the contrast and brightness so I could see something but that didn't help.<br /><br />They must have found the script in a bin, the character development is just as awful and while you hardly expect much from a Jean-Claude Van Damme film this one manages to hit an all time low. You can't even laugh at the cheesy'ness.<br /><br />The directing and editing are also terrible, the whole film follows an extremely tired routine and fails at every turn as it bumbles through the plot that is so weak it's just unreal.<br /><br />There's not a lot else to say other than it's really bad and nothing like Jean-Claude Van Damme's earlier work which you could enjoy.<br /><br />Avoid like the plaque, frankly words fail me in condemning this ""film"".",27.25449363953856,",.. but acting, and sound, andly, badppy dialogue.br><><br />I film is the so bad that's no where can't even see it's going on. and mean saw to make around the lighting in the of that could see what. it was't work.br /><br />The're have been a right to a box and but script was was so so bad as the it can ever it from a film-Claude Van Damme movie, is is to be the emotional time high.< can't help see at the poor dialoguen.br /><br />The cinem is cinem is so awful, the cinem film is a old boring and, the to every single. the triesores around the same and is so bad and's almost a.br /><br />The's a much single of to say about than that's a bad and I else the-Claude Van Damme's work films. is can say.br /><br />Theing the plague and it. are to. this this filmbad""",gpt2
