pos,removed_pos_count,pos_appearance_count,relative_removal
NOUN,37027,102699,0.3605390510131549
PUNCT,33094,72577,0.4559846783416234
PROPN,24649,37889,0.650558209506717
VERB,22790,62063,0.3672075149444919
PRON,18840,51816,0.3635942566002779
ADP,18041,56550,0.31902740937223695
DET,14486,57466,0.2520794904813281
ADJ,13152,46755,0.2812961180622393
ADV,10914,33854,0.32238435635375434
AUX,9241,36108,0.2559266644510912
X,8915,2239,3.9816882536846805
CCONJ,5645,21101,0.2675228662148713
SCONJ,3083,12097,0.25485657601058115
PART,2831,16990,0.16662742789876397
NUM,1796,5817,0.308750214887399
SYM,1715,527,3.25426944971537
INTJ,1552,1600,0.97
SPACE,8,43,0.18604651162790697
